rank	word	reading	pos	meaning	example	translation
699	完成	かんせい	noun	completion; perfection; accomplishment	君は自分でそれを完成しなければならない。	You yourself have to finish it.
700	少年	しょうねん	noun	boy	少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.
701	方向	ほうこう	noun	direction; orientation; bearing	私は方向感覚がいいから道には迷いません。	I have a good sense of direction, so I don't get lost.
702	有名	ゆうめい	na-adjective	famous; well-known	彼女は大人になったら有名な医者になった。	She grew up to be a famous doctor.
703	本気	ほんき	noun	seriousness; earnestness; truth	さあ、そろそろ本気で勉強を始めなくちゃ。	It's time to hit the books.
704	森	もり	noun	forest	森の中で彼女は２人の見知らぬ人に会った。	In the woods, she met with two strangers.
705	生産	せいさん	noun	production; manufacture	父の工場は毎月３万台の車を生産している。	My father's factory turns out 30,000 cars each month.
706	石	いし	noun	stone; rock; pebble	世界中から集められた石が使われています。	Stones collected from all over the world are used.
707	自己	じこ	noun	self; oneself	まず自分たちの自己紹介から話を始めよう。	Let's start the ball rolling by introducing ourselves.
708	ドル	どる	noun	dollar	父は財布を取り出して私に１０ドルくれた。	My father took out his wallet and gave me ten dollars.
709	付き	つき	noun	furnished with; including	一定の条件付きで、彼の提案に賛成します。	I support his proposal with certain qualifications.
710	会議	かいぎ	noun	meeting; conference; session	彼は会議を混乱させないように気をつけた。	He was careful not to disrupt the meeting.
711	健康	けんこう	noun	health	勉強も遊びも共に健康にとって必要である。	Work and play are both necessary to health.
712	勝手	かって	noun	one's own convenience; one's way; selfishness	なんでもかんでも好き勝手にはさせないぞ。	You shall not have your own way in everything.
713	北	きた	noun	north	日光は東京の北約７５マイルの地点にある。	Nikko is situated about seventy five miles north of Tokyo.
714	北海道	ほっかいどう	noun	Hokkaido (island, prefectural-level administrative unit)	北海道の大地震は大きな被害をもたらした。	The earthquake in Hokkaido caused extensive damage.
715	半	はん	noun	half; semi-; partial	その川はテムズ川の約１倍半の長さである。	The river is about half as long again as the Thames.
716	器	うつわ	noun	bowl; vessel; container	彼は将来国家の棟梁たるべき器だ。	He has the capacity to be a future leader of the nation.
717	外国	がいこく	noun	foreign country	彼女の願いはいつか外国に留学することだ。	Her wish is to study abroad someday.
718	大量	たいりょう	na-adjective	large quantity; massive (quantity); mass (e.g. mass production, mass transit, mass destruction)	彼女は息子にあまりにも大量のお金を与えた。	She gives too much money to her son.
719	委員	いいん	noun	committee member	物価を調査するために委員会が設立された。	A committee was constituted to investigate prices.
720	左	ひだり	noun	left; left-hand side	右よ～し、左よ～し・・・、よし。大丈夫。	Right - clear, left - clear..., OK, all clear.
721	平成	へいせい	noun	Heisei era (1989.1.8-2019.4.30)	平成１６年１月１日から、改正労働基準法が施行されます。	The reformed Labour Standards Act will be in force from Jan 1st 2004.
722	恋	こい	noun	(romantic) love	彼が彼女に恋をしているというのは本当だ。	That he is in love with her is true.
723	旅	たび	noun	travel; trip; journey	旅は私たちの心を大いに豊かにするだろう。	Traveling will immensely enrich our minds.
724	特徴	とくちょう	noun	feature; trait; characteristic	緑色である事がその種のりんごの特徴なのです。	A green color is a characteristic of that type of apple.
725	選択	せんたく	noun	choice; selection; option	遊びか勉強か、選択はあなたがすることだ。	Play or study - the choice is yours.
726	野球	やきゅう	noun	baseball	野球をするときはもっと気をつけないとね。	You have to be more careful when you play ball.
727	雨	あめ	noun	rain	明日の今頃は雨が降っていることでしょう。	It will be raining at this time tomorrow.
728	食事	しょくじ	noun	meal (e.g. lunch, dinner)	彼は到着するやいなや食事をくれと言った。	As soon as he arrived, he demanded a meal.
729	魔法	まほう	noun	magic; witchcraft; sorcery	あいつに魔法をかけてカエルにしてやろう。	I'll bewitch him into a frog!
730	これら	これら	pronoun	these	私は彼女にこれらの古いコインをもらった。	I got these old coins from her.
731	どういう	どういう	adjective	what kind of; what sort of; what	結局お言葉はどういう意味になるのですか。	What do your words add up to?
732	ソフト	そふと	na-adjective	soft	表計算ソフトは、覚えておくと何かと便利よ。	Once you get the hang of it, spreadsheet software is really useful.
733	人物	じんぶつ	noun	person; character; figure	問題の人物は目下アメリカに滞在中である。	The person in question is now staying in America.
734	反対	はんたい	noun	opposition; resistance; antagonism	両親は私がそこへ一人で行く事に反対した。	My parents objected to my going there alone.
735	名古屋	なごや	noun	Nagoya (city)	私は名古屋に一泊旅行をする計画をしている。	I am planning to make an overnight trip to Nagoya.
736	客	きゃく	noun	guest; visitor	彼女は客が来ないうちに、部屋を掃除した。	She cleaned her room before her guests arrived.
737	専用	せんよう	noun	(one's) exclusive use; private use; personal use	ドアにいちばん近い駐車場所は重役専用です。	The parking spaces nearest the door are reserved for executives.
738	弁護士	べんごし	noun	lawyer; attorney	弁護士たちはその事件を何時間も弁論した。	The lawyers argued the case for hours.
739	意見	いけん	noun	opinion; view; comment	両親だけでなく姉も私の意見に反対である。	Not only my parents but also my sister is against my opinion.
740	成長	せいちょう	noun	growth; development; growing up	彼は成長株の事業に２００ドルを投資した。	He invested two hundred dollars in a growing business.
741	指定	してい	noun	designation; specification; assignment	彼は私に読むべき本を３冊指定した。	He assigned me three books to read.
742	採用	さいよう	noun	use; adoption; acceptance	我々の学校ではあなたの方法を採用します。	We will adopt your method at our school.
743	機関	きかん	noun	engine	公共の交通輸送機関は正確に動いています。	The public transportation system runs like clockwork.
744	無駄	むだ	noun	futility; waste; uselessness	彼女は彼を喜ばせようとしたが無駄だった。	She tried in vain to please him.
745	箱	はこ	noun	box; case; chest	彼はその箱を開けようとしたがだめだった。	He tried in vain to open the box.
746	若い	わかい	i-adjective	young; youthful	彼女は髪型で実際の年齢よりも若く見える。	Her hair style makes her look younger than her age.
747	製	せい	noun	make; manufacture; -made	何社製のコンピューターをお使いですか。	What make of computer do you use?
748	赤	あか	noun	red; crimson; scarlet	あなたの引いたカードは赤のマークですね。	The card you drew was a red, wasn't it?
749	逮捕	たいほ	noun	arrest; apprehension; capture	私は彼の逃亡を助けたので逮捕されました。	I was arrested for aiding in his escape.
750	郡	ぐん	noun	district; county	その発電所は、その遠く離れた郡に電気を供給している。	The power plant supplies the remote district with electricity.
751	髪	かみ	noun	hair (on the head)	彼女は登校前によく髪を洗ったものだった。	She used to wash her hair before going to school.
752	パン	ぱん	noun	bread; (sweet) pastry	多くの日本の若者が朝食にパンを食べます。	Many young people in Japan eat bread for breakfast.
753	ライン	らいん	noun	line	ライン川はフランスとドイツの間を流れている。	The Rhine runs between France and Germany.
754	ロック	ろっく	noun	rock (music)	現代の英雄はロックスターが代表している。	Modern heroes are represented by rock stars.
755	予想	よそう	noun	expectation; anticipation; prediction	私たちは予想以上にたくさんの金を使った。	We spent more money than was expected.
756	今後	こんご	noun	from now on; hereafter	今後旅行の際はぜひ当社をご検討ください。	Please consider us in the future for all your travel needs.
757	医療	いりょう	noun	medical treatment; medical care	事故があるとすぐに救急医療隊が到着する。	Medical help arrives promptly after an accident.
758	南	みなみ	noun	south	あの鳥たちは夏に巣を作り、冬に南へ渡る。	Those birds build their nests in the summer and fly to the south in the winter.
759	命	いのち	noun	life; life force	兵士は自分の命を犠牲にして友人を救った。	The soldier saved his friend at the cost of his own life.
760	変化	へんか	noun	change; variation; alteration	彼の態度にはこれという変化は見られない。	He's shown no appreciable change of attitude.
761	夫	おっと	noun	husband	夫は彼女に一切のことを言わせようとした。	Her husband demanded that she tell him the whole truth.
762	新聞	しんぶん	noun	newspaper	彼は、新聞に載ったすべての話を否定した。	He has denied all the stories in the newspapers.
763	特定	とくてい	adjective	specific; particular; designated	別に特定の人をさして言っているのではない。	I am not alluding to any person in particular.
764	男子	だんし	noun	boy	私たちの学校は男子より女子の方が多いよ。	There are more girls than boys in our school.
765	編集	へんしゅう	noun	editing; compilation	編集者と出版者がそのパーティーに出席していた。	The editor and the publisher were present at the party.
766	読む	よむ	verb	to read	両者の意見を読んで、自分で決めて下さい。	Read both sides and then decide for yourself.
767	賞	しょう	noun	prize; award	利口なその少年は自分の発明品で賞を得た。	The ingenious boy won a prize for his invention.
768	通信	つうしん	noun	correspondence; communication; transmission	この会社は通信部門でよく知られている。	This corporation is well known for its communication equipment.
769	つく	つく	verb	to breathe out; to breathe	もうっ、全然勉強が手につかないわよっ！！	Enough! I can't get any study done at all!
770	オリジナル	おりじなる	adjective	original	いくつかのシーンがオリジナルから外された。	Several scenes have been cut from the original.
771	カップ	かっぷ	noun	cup (drinking vessel, measure, brassiere, prize, etc.)	彼女は私がカップを割った時、私に腹を立てた。	She lost her temper with me when I broke the cup.
772	テスト	てすと	noun	test (of ability, knowledge, etc.); exam; examination	体育祭も終わったし、次は中間テストかあ。	Well sports day is over too, next the midterms ...
773	五	ご	number	five; 5	彼女は気を失ったが五分ぐらいで回復した。	She fainted but came to in about 5 minutes.
774	制作	せいさく	noun	work (film, book)	彼の次の制作は非常に意欲的なミュージカルだった。	His next production was a very ambitious musical.
775	壁	かべ	noun	wall; partition	彼女は天気のよい日を利用して壁を塗った。	She took advantage of the fine weather to paint the wall.
776	大きい	おおきい	i-adjective	big; large; great	代表団は貿易交渉を大きく前進させました。	Representatives made a major breakthrough in the trade talks.
777	妹	いもうと	noun	younger sister	妹の方が私よりも上手にピアノを弾けます。	My sister can play the piano better than I can.
778	席	せき	noun	seat	席を確保するには列に並びさえすればいい。	All you have to do to secure a seat is to wait in line.
779	掲載	けいさい	noun	publication (e.g. of an article in a newspaper); carrying (e.g. a story); running (e.g. a serial)	それは昨日の産経新聞に掲載された。	It came out in yesterday's Sankei.
780	新た	あらた	na-adjective	new; fresh; novel	新たな政策への圧力が政府にかかっています。	The heat is on the administration to come up with a new policy.
781	条件	じょうけん	noun	condition; term; requirement	値引き交渉に必要な条件を教えてください。	Please let us know your conditions for making the concession.
782	現場	げんば	noun	actual spot; scene (of a crime, accident, etc.)	現場には彼に不利な証拠品は何もなかった。	There was no evidence against him found at the scene.
783	直接	ちょくせつ	na-adjective	direct; immediate; personal	このニュースは直接聞いたから間違いない。	You can believe me, because I heard this news first hand.
784	福岡	ふくおか	noun	Fukuoka (city, prefecture)	福岡は私が好きなタイプの町のまさに典型です。	Fukuoka is very typical of the kind of town I like.
785	耳	みみ	noun	ear	彼女は遠くで犬が吠えているのを耳にした。	She heard a dog barking in the distance.
786	観光	かんこう	noun	sightseeing; tourism	春には非常に大勢の観光客が京都を訪れる。	A great many tourists visit Kyoto in spring.
787	クラス	くらす	noun	class	僕のクラスにも田中という名前の人がいる。	There is a Tanaka in my class, too.
788	コード	こーど	noun	code; program	彼は機械にコードをつないだ。	He connected the cord to the machine.
789	応援	おうえん	noun	aid; assistance; help	何事が起ころうとも、君を応援するよ。	I will stand by you whatever happens.
790	枠	わく	noun	frame; framework	彼らは窓枠を黄色く塗った。	They painted the window frames yellow.
791	治療	ちりょう	noun	(medical) treatment; care; therapy	癌の効果的な治療法はまだ発見されていない。	We have yet to discover an effective remedy for cancer.
792	法律	ほうりつ	noun	law; legislation; act	法律は、すべての人は平等だと言っている。	The law says that all men are equal.
793	破壊	はかい	noun	destruction; disruption	地震の結果、その道路は一部破壊された。	The road was partly destroyed in consequence of the earthquake.
794	種類	しゅるい	noun	variety; kind; type	当店にはいろいろな種類の本がございます。	We have a wide choice of books.
795	級	きゅう	noun	(school) grade; year; class	４級の漢字をどれだけ覚えていますか。	How many grade four kanji have you memorised?
796	いくつ	いくつ	adverb	how many	彼女は彼らにりんごをいくつか与えました。	She gave them some apples.
797	すでに	すでに	adverb	already	私たちはすでに英語を学んでしまいました。	We have already learned English.
798	それでも	それでも	conjunction	but (still); and yet; nevertheless	彼女は欠点があるがそれでもやはり美しい。	She is none the less beautiful for her faults.
799	ツアー	つあー	noun	tour	バスツアーはどこで申し込みするのですか。	Where do I book a bus tour?
800	不安	ふあん	noun	anxiety; uneasiness; worry	悲しい気持ちや不安になってはいけません。	Don't feel sad or ill at ease.
801	事務所	じむしょ	noun	office	彼女は仕事が終わって直ちに事務所を出た。	She left the office immediately after work.
802	動き	うごき	noun	movement; move; motion	株式市場は今日は驚くべき動きはなかった。	The stock market was surprisingly quiet today.
803	小説	しょうせつ	noun	novel; story; (work of) fiction	彼女の小説の両方とも読んだわけではない。	I haven't read both of her novels.
804	局	きょく	noun	bureau; department	彼の家はちょうど郵便局の真向かいにある。	His house is just across from the post office.
805	州	しゅう	noun	state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK)	死刑制度は米国の様々な州で廃止されている。	The death penalty has been done away with in many states in the USA.
806	年齢	ねんれい	noun	age; years	彼女は髪型で実際の年齢よりも若く見える。	Her hair style makes her look younger than her age.
807	投票	とうひょう	noun	voting; ballot; poll	政府が住民に問う一般投票を実施しました。	The government put the question to the people in a referendum.
808	旅行	りょこう	noun	travel; trip; journey	旅行中、ジョンと私は交替で車を運転した。	During the trip, John and I alternated driving the car.
809	機会	きかい	noun	chance; opportunity; occasion	彼女に会える機会を逃してしまって残念だ。	I regret missing the chance to meet her.
810	活躍	かつやく	noun	activity (esp. energetic or successful); great efforts; active participation	彼女は婦人解放運動で積極的に活躍した。	She took an active part in the women's lib movement.
811	美しい	うつくしい	i-adjective	beautiful; pretty; lovely	美しいということは全く見る人の眼による。	Beauty is altogether in the eye of the beholder.
812	趣味	しゅみ	noun	hobby; pastime	誰がどんな趣味だろうと君の知ったことか？	Is it any of your business what someone's hobby is?
813	飲む	のむ	verb	to drink; to swallow; to take (medicine)	冷えたビールでも飲みながら話しましょう。	Let's talk over a cold beer.
814	おかしい	おかしい	i-adjective	funny; amusing; comical	郵便配達人がまだ来ていないのはおかしい。	It is funny that the mailman hasn't come yet.
815	おはよう	おはよう	interjection	good morning	「おはよう」とトムは微笑みながら言った。	Good morning, said Tom with a smile.
816	とる	とる	verb	to have (e.g. lunch); to take (e.g. vitamins)	両親が年をとったら面倒を見るつもりです。	I'll look after my parents when they get old.
817	コーヒー	こーひー	noun	coffee	眠くならないにはコーヒーを飲むのがいい。	In order to stay awake, I may have to drink more coffee.
818	テーマ	てーま	noun	theme; topic; subject matter	彼の発言はそのテーマとは何の関係もない。	His remark has nothing to do with the subject.
819	トイレ	といれ	noun	toilet; restroom; bathroom	シャワーとトイレつきの部屋はありますか。	Do you have any rooms with a shower and toilet?
820	ハイ	はい	na-adjective	high (spirits); euphoric; intoxicated	彼女はハイセンスの持ち主ですよ。	She has a sense of fashion.
821	プレゼント	ぷれぜんと	noun	present; gift	彼女はクリスマスプレゼントに本をくれた。	She gave me a book for Christmas.
822	ユーザー	ゆーざー	noun	user	エンドユーザーの視野にたった商品開発が必須。	Our new product development efforts must be done from the end user's viewpoint.
823	代わり	かわり	noun	substitute; replacement; substituting	私の代わりにその会に行ってくれませんか。	Will you go to the meeting in my place?
824	勝利	しょうり	noun	victory; triumph; win	正直者が最後には勝利を得ると信じている。	I believe the honest will win in the long run.
825	地震	じしん	noun	earthquake	北海道の大地震は大きな被害をもたらした。	The earthquake in Hokkaido caused extensive damage.
826	失礼	しつれい	noun	discourtesy; impoliteness	彼女に失礼なことをしたことを謝るべきだ。	You should apologize to her for being rude.
827	安定	あんてい	noun	stability; steadiness; consistency	当局は自国の通貨を何とかして安定させた。	The authorities managed to stabilize the currency.
828	広告	こうこく	noun	advertisement; advertising	非常に沢山の人々がその広告にだまされた。	Thousands of people were deceived by the advertisement.
829	早い	はやい	i-adjective	fast; quick; rapid	明日の朝は早く起きなければいけませんよ。	You have to wake up early tomorrow morning.
830	武器	ぶき	noun	weapon; arms; ordnance	彼らの中には武器を作る才能のある者がいた。	Some of them had a gift for making weapons.
831	画面	がめん	noun	screen (of a TV, computer, etc.)	画面がもっと見えるように近づきたい。	Come closer in order that you may see the screen better.
832	社長	しゃちょう	noun	company president; manager; director	彼は社長がどこへ行ったかを明らかにした。	He made it known where the president had gone.
833	秘密	ひみつ	noun	secret; secrecy; confidentiality	彼女は秘密を知っていることを認めている。	She admits knowing the secret.
834	胸	むね	noun	chest; breast	彼女を思う激しい気持ちで胸が一杯だった。	I was filled with frightful sorrow for her.
835	装置	そうち	noun	equipment; device; installation	例えば、小鳥は特別な防御装置を備えている。	Birds, for instance, have a special protective device.
836	複数	ふくすう	adjective	plural; multiple	アジアの宗教から閃きを得て、彼は複数の素晴らしい彫刻を生み出した。	Asian religions inspire him to create splendid sculptures.
837	謎	なぞ	noun	riddle; puzzle; enigma	彼女がなぜ自殺したのかは今なお謎である。	It is still a mystery why she killed herself.
838	連続	れんぞく	noun	continuation; succession; series	暖かい日が連続した後、天候は寒くなった。	After a succession of warm days, the weather became cold.
839	都市	とし	noun	town; city; municipal	東京は日本の他のどの都市より人口が多い。	Tokyo has a larger population than any other city in Japan.
840	ばか	ばか	noun	idiot; moron; fool	労働者たちは長い間ばかな規則に我慢した。	Workers put up with silly rules for a long time.
841	だめ	だめ	na-adjective	no good; not serving its purpose; useless	勉強ばかりで遊ばないと子供はだめになる。	All work and no play makes Jack a dull boy.
842	やはり	やはり	adverb	as expected; sure enough; just as one thought	彼女は欠点があるがそれでもやはり美しい。	She is none the less beautiful for her faults.
843	サッカー	さっかー	noun	soccer; (association) football	彼のお兄さんは有名なサッカーの選手です。	His brother is a famous soccer player.
844	処理	しょり	noun	processing; dealing with; treatment	問題は我々がこの金をどう処理すべきかだ。	The problem is what we should do with this money.
845	及び	および	conjunction	and; as well as	私の収入は彼のには及びもつかない。	My income is a far cry from his.
846	受ける	うける	verb	to receive; to get	明日の今ごろ私は試験を受けているだろう。	I will be taking the exam about this time tomorrow.
847	常に	つねに	adverb	always; constantly; at all times	成功は常に忍耐する人達に味方するものだ。	Success is always on the side of the persevering.
848	株式会社	かぶしきがいしゃ	noun	stock company; corporation; kabushiki kaisha	４月１日、南洋フーズ株式会社は横浜の新社屋に移転します。	On April 1, Nanyo Foods Co. Ltd. will move to its new building in Yokohama.
849	正しい	ただしい	i-adjective	right; correct	彼は正しい英語の使い方を良く知っている。	He has an eye for good English usage.
850	満足	まんぞく	noun	satisfaction; contentment; gratification	彼女は新しい仕事にすっかり満足している。	She is quite satisfied with her new job.
851	生徒	せいと	noun	pupil; student; schoolchild	彼女は教え方を学習の遅い生徒に合わせた。	She adapted her teaching method to slow learners.
852	科	か	noun	department (of a university or hospital)	裁判官は彼に重い罰金を科せるのだろうか。	Will the judge fine him heavily?
853	米国	べいこく	noun	(United States of) America; USA; US	米国の犯罪者のほとんどは麻薬中毒である。	Many criminals in America are addicted to drugs.
854	紙	かみ	noun	paper	私は箱を紙で包み、それをリボンで結んだ。	I put a piece of paper around the box and tied it up with a ribbon.
855	練習	れんしゅう	noun	practice; training; drill	彼女は与えられた時間で練習問題を終えた。	She finished her exercises in the given time.
856	食	しょく	noun	food; foodstuff	あのレストランは毎日二千食準備している。	That restaurant prepares two thousand meals every day.
857	いずれ	いずれ	pronoun	which; where; who	彼女はいずれにしても来なければならない。	She must come at all events.
858	ゆっくり	ゆっくり	adverb	slowly; unhurriedly; without haste	負けたチームはゆっくりと競技場を去った。	The defeated team slowly left the field.
859	スタート	すたーと	noun	start; beginning	子供らは二人一組になったスタートした。	The children started in pairs.
860	ママ	まま	noun	mom; mommy; mum	宿題をやってから、私はママとおしゃべりした。	Having done my homework, I had a chat with Mom.
861	メッセージ	めっせーじ	noun	message	我々は世界中にそのメッセージを送った。	We beamed the message to the world.
862	メディア	めでぃあ	noun	media	このメディアには記録することができない。	It is not possible to record in this media.
863	メーカー	めーかー	noun	manufacturer (esp. a major company); producer; maker	そのテレビのメーカーは日本の企業である。	The manufacturer of the television set is a Japanese company.
864	主張	しゅちょう	noun	claim; insistence; assertion	彼らは、環境を保護する事を強く主張した。	They stressed protection of the environment.
865	会場	かいじょう	noun	assembly hall; meeting place; venue	コンサート会場はファンであふれていた。	The concert hall was alive with fans.
866	会話	かいわ	noun	conversation; talk; chat	彼女はいつも手を振って会話を終わらせる。	She always winds up a conversation with a wave of her hand.
867	作戦	さくせん	noun	tactics; strategy	彼は第２次大戦でアフリカ作戦の英雄だった。	He was a hero of the African campaign in World War II.
868	制	せい	noun	system; organization; organisation	リンカーンは合衆国の奴隷制廃止に乗り出した。	Lincoln set out to abolish slavery in the United States.
869	同様	どうよう	adjective	same; similar; (just) like	同様に振る舞う他のイベントでも結構です。	Another event that has the same behaviour would also be fine.
870	団体	だんたい	noun	group; party; team	団体旅行より、一人旅のほうがおもしろい。	It's more interesting to travel alone than to go on a group tour.
871	定期	ていき	noun	fixed period; fixed term	定期的に歯医者に行くのがいちばんいいよ。	It's best to go to the dentist at regular intervals.
872	導入	どうにゅう	noun	introduction; bringing in; installation	その会社は経営に日本式のやり方を導入した。	The company introduced Japanese methods into its business.
873	市場	しじょう	noun	market (financial, stock, domestic, etc.); marketplace; exchange	私は普段金曜日に市場に買い物に行きます。	I usually go to market on Friday.
874	弟	おとうと	noun	younger brother; little brother; kid brother	彼女はうまく弟からその手紙を取り上げた。	She coaxed the letter out of her brother.
875	様々	さまざま	na-adjective	various; varied; diverse	君は様々な状況に適応しなければならない。	You must adapt to a variety of conditions.
876	横	よこ	noun	horizontal (as opposed to vertical)	母親はベッドで赤ちゃんの側で横になった。	The mother lay beside her baby on the bed.
877	物語	ものがたり	noun	story; tale; narrative	その物語は面白くもありまたためにもなる。	The story is at once interesting and instructive.
878	申し訳	もうしわけ	noun	apology; excuse	大変ご迷惑をおかけして申し訳ありません。	I am sorry to trouble you so much.
879	瞬間	しゅんかん	noun	moment; instant; second	彼らの最良の瞬間は、最後の舞台である。	Their finest moment is their last appearance on stage.
880	罪	つみ	noun	crime; sin; wrongdoing	彼の罪を許してあげた方がいいんじゃない。	You may as well forgive his sins.
881	電子	でんし	noun	electron	電子メールで連絡を取り合いましょう。	Let's keep in touch by e-mail.
882	電気	でんき	noun	electricity	彼女は電気料金の請求書を今日受け取った。	She received the electricity bill today.
883	いくら	いくら	noun	how much	彼の成功はいくらかは運がよかったためだ。	His success was in part due to luck.
884	とにかく	とにかく	adverb	anyway; anyhow; at any rate	彼は年をとっているが、とにかくよく働く。	He is old, but at all events he works well.
885	コース	こーす	noun	course; route; trail	どこで？わたしもそのコースを取りたいわ。	Where? I'd like to take one, too.
886	ビル	びる	noun	multi-floor building; multi-storey building	彼女はビルと交際したくないと思っている。	She doesn't like to associate with Bill.
887	フランス	ふらんす	noun	France	彼女は休暇過ごしにフランスにやって来た。	She came over to France for a holiday.
888	ブラック	ぶらっく	noun	black	私はコーヒーをブラックで飲みましょう。	I'll take my coffee black.
889	公演	こうえん	noun	public performance	その切符は金曜日の公演には使えなかった。	The tickets were not available for Friday's performance.
890	合	ごう	noun	gō; traditional unit of volume, approx. 180 ml	百合は当時たびたびロンドンに行った。	Yuri often went to London in those days.
891	地元	じもと	noun	home area; home town	彼女は地元の病院で看護婦として働いている。	She works as a nurse in the local hospital.
892	報道	ほうどう	noun	report (of news); reporting; news	その事故はきょうの新聞に報道されている。	The accident is reported in today's paper.
893	変わる	かわる	verb	to change; to be transformed; to be altered	彼女の意見は変わっているが面白いと思う。	I find her opinions odd but interesting.
894	天	てん	noun	sky	天にも昇るような気持ちです。	I'm so happy, I feel like I could fly.
895	小さい	ちいさい	i-adjective	small; little; tiny	このドライバーは小さすぎて役に立たない。	This screwdriver is too small to be any use.
896	小さな	ちいさな	adjective	small; little; tiny	彼らはみすぼらしい小さな家に住んでいる。	They live in a wretched little house.
897	川	かわ	noun	river; stream	彼は小さなボートに乗ってその川を渡った。	He crossed the river in a small boat.
898	市民	しみん	noun	citizen (of a country); citizenry	彼にアメリカの市民権が与えられるだろう。	He will be given American citizenship.
899	感覚	かんかく	noun	sense; sensation; feeling	彼は死ぬまでユーモアの感覚を持ち続けた。	He kept his sense of humor until the day he died.
900	指導	しどう	noun	guidance; leadership; instruction	彼らは彼を自分たちの指導者と思っていた。	They regarded him as their leader.
901	操作	そうさ	noun	operation; management; handling	コンピューターの操作の仕方を知ってますか。	Do you know how to operate a computer?
902	普段	ふだん	adjective	usual; normal; everyday	私は普段金曜日に市場に買い物に行きます。	I usually go to market on Friday.
903	横浜	よこはま	noun	Yokohama (city)	横浜駅へ行くのにはこの道でいいのですか。	Is this the right way to Yokohama Station?
904	現代	げんだい	noun	present age; present day; today	彼女は現代の最も優れた画家の一人である。	She is among the best artists of today.
905	禁止	きんし	noun	prohibition; inhibition; ban	両親は私がまたトムと会うことを禁止した。	My parents forbade me to see Tom again.
906	自体	じたい	noun	itself	神の存在を信じる事それ自体は悪ではない。	Believing in God is not evil in itself.
907	遊び	あそび	noun	play; playing; game	遊びか勉強か、選択はあなたがすることだ。	Play or study - the choice is yours.
908	首	くび	noun	neck	彼は怠け者であるという理由で首になった。	He was dismissed of the grounds that he was idle.
909	あるいは	あるいは	conjunction	or; either ... or	あなたかあるいは私が間違っている。	Either you or I am wrong.
910	アクセス	あくせす	noun	access (to a place, esp. using public transport)	空港へのアクセスがいいところに泊まろうよ。	Let's stay somewhere with easy airport access.
911	サイズ	さいず	noun	size	その靴があなたにぴったりのサイズなら……。	If the shoe fits....
912	スタイル	すたいる	noun	(one's) figure; build; physique	その画家は独特なスタイルをもっている。	The artist has an individualistic style of painting.
913	バンド	ばんど	noun	band (group of musicians)	バンドの演奏は何時に始まりますか。	What time will the band start playing?
914	フリー	ふりー	na-adjective	free (of restraint, controls, etc.)	もしもし、フリーマン氏はおられますか。	Hello, is Mr Freeman in?
915	体験	たいけん	noun	(practical) experience; personal experience; hands-on experience	私はそのとき非常に不愉快な体験をした。	I went through so unpleasant an experience at that time.
916	兄	あに	noun	older brother; elder brother	私は子供の頃、兄とよく川へつりに行った。	When I was a little boy, I often went fishing with my brother in the river.
917	八	はち	number	eight; 8	日本では十八歳になると車を運転できます。	We can drive in Japan when we are eighteen years old.
918	冬	ふゆ	noun	winter	私はよく冬にスキーに出かけたものだった。	I used to go skiing in winter.
919	安い	やすい	i-adjective	cheap; inexpensive	本物の皮を使う方が結局は安くつくだろう。	It'll be cheaper in the long run to use real leather.
920	平和	へいわ	noun	peace; harmony	彼女はその町の平和と静けさを愛している。	She loves the peace and quiet of the town.
921	広島	ひろしま	noun	Hiroshima (city, prefecture)	彼女は他のどの都市よりも広島が好きだ。	She likes Hiroshima better than any other city.
922	筋	すじ	noun	muscle; tendon; sinew	彼がそのテレビドラマの筋を話す役割をした。	He had the role of narrating the television drama.
923	機械	きかい	noun	machine; mechanism	私はその機械が役に立たないのに気づいた。	I found that the machine was of no use.
924	穴	あな	noun	hole; opening; orifice	私のポケットにはたまたま穴があいていた。	It happened that there was a hole in my pocket.
925	舞台	ぶたい	noun	stage (of a theatre, concert hall, etc.)	この話をぼくは舞台にのせるかもしれない。	I may put this story on the stage.
926	設置	せっち	noun	establishment; institution	仕事場にコンピューターを設置した。	We have equipped our office with computers.
927	雰囲気	ふんいき	noun	atmosphere; mood; ambience	彼が入ってくると、緊張した雰囲気になった。	The atmosphere became strained when he came.
928	頂	いただき	noun	crown (of head); summit (of mountain); spire	今朝起きてみると、山の頂が雪におおわれていた。	I awoke this morning to find the summit of the mountain covered with snow.
929	そこで	そこで	conjunction	so; accordingly; now	彼は大阪に行き、そこでホテルに泊まった。	He went to Osaka, where he put up at a hotel.
930	そろそろ	そろそろ	adverb	soon; before long; any time now	彼はもうそろそろ身を固めてもいいころだ。	It is about time he got settled down.
931	なるほど	なるほど	interjection	I see; that's right; indeed	なるほど彼は若いが、たいへん頼りになる。	It is true that he is young, but he is very reliable.
932	信頼	しんらい	noun	trust (in); confidence; faith	面と向かってほめるような人を信頼するな。	Do not trust such men as praise you to your face.
933	勝ち	かち	noun	win; victory	表が出たら僕の勝ち、裏が出たら君の勝ち。	Heads I win, tails you win.
934	募集	ぼしゅう	noun	recruitment; invitation; selection	うちのバスケット部は背の高い男子を募集している。	Our basketball team is recruiting tall boys.
