rank	word	reading	part_of_speech	meaning	example	translation
621	準備	じゅんび	noun	preparation; arrangements; getting ready	あのレストランは毎日二千食準備している。	That restaurant prepares two thousand meals every day.
622	自動	じどう	adjective	automatic	ほとんどのエレベーターは自動で動く。	Most elevators operate automatically.
623	記憶	きおく	noun	memory; recollection; remembrance	その景色は強く私の記憶に残っている。	I was deeply impressed by the scenery.
624	試合	しあい	noun	match; game; bout	長く続いた試合がやっと終わった。	The long game came to an end at last.
625	身	み	noun	one's body; one's person	学生の身なのでまだ結婚する気になれない。	Being only a student, I can't afford to get married.
626	ページ	ページ	noun	page	さらに詳しくは１６ページ参照。	For further information, see page 16.
627	今度	こんど	noun	this time; now	今度遊びに来てください。	Come and see us sometime.
628	労働	ろうどう	noun	labor; labour; work	彼らは奴隷のように労働した。	They labored like slaves.
629	大切	たいせつ	na-adjective	important; significant; serious	彼女は彼にとって最もたいせつな人だ。	She is all in all to him.
630	未来	みらい	noun	(distant) future	君の未来計画について話してください。	Tell me about your program for the future.
631	沖縄	おきなわ	noun	Okinawa (city, prefecture)	台風のため沖縄へ旅行できなかった。	A typhoon prevented us from going on our trip to Okinawa.
632	現実	げんじつ	noun	reality; actuality; hard fact	賢い子供は人生や現実について知りたがる。	A bright child is curious about life and reality.
633	用意	ようい	noun	preparation; arrangements; provision	用意がほとんど出来ていなかった。	I was hardly prepared.
634	科学	かがく	noun	science	彼はあらゆる科学について知っている。	He's at home in all the sciences.
635	結局	けっきょく	adverb	after all; in the end; ultimately	彼女は結局、電話してこなかった。	She didn't telephone after all.
636	美	び	noun	beauty	彼女は美に対するセンスを持っていない。	She has no sense of the beautiful.
637	親	おや	noun	parent; parents; mother and father	親はこれに対して満足な答えを与えられない。	There is no satisfactory answer a parent can give to this.
638	アップ	アップ	noun	rise; increase; raising	物価は毎日アップしている。	Prices are going up every day.
639	ドラマ	ドラマ	noun	(non-documentary) television series; TV drama; teledrama	この秋は、珍しくドラマをたくさん見ている。	This autumn I am, unusually, watching many drama series.
640	上げ	あげ	noun	tuck (e.g. in a dress)	順風の時に帆を上げよ。	Hoist your sail when the wind is fair.
641	予約	よやく	noun	reservation; appointment; booking	おい、きみ、予約してくれ。	Hey you, make a reservation.
642	仲間	なかま	noun	companion; fellow; friend	仲間がすべて寝ていた。	My companions were all asleep.
643	位置	いち	noun	place; position; location	位置について、用意、ドン。	On your marks, get set, go!
644	作	さく	noun	work (e.g. of art); piece; production	彼の最近作は前作に比べて進歩がある。	His latest work is an advance on his previous one.
645	印象	いんしょう	noun	impression	この本の印象をどうぞ。	Give me your impression of this book.
646	反応	はんのう	noun	reaction; response	反応が早ければ点数が上がります。	You'll get brownie points if you respond quickly.
647	少ない	すくない	i-adjective	few; little; small (amount)	口少ないひとは、賢いしるし。	Few words show men wise.
648	日本語	にほんご	noun	Japanese (language)	日本語、英語、フランス語を話します。	I speak Japanese, English, and French.
649	本人	ほんにん	noun	the person in question; the person themselves; said person	彼本人がやってきた。	He came in person.
650	番号	ばんごう	noun	number; series of digits	どうしても彼女の電話番号が思い出せない。	I can't for the life of me remember her phone number.
651	空	そら	noun	sky; the air; the heavens	空には、星一つ見られなかった。	Not a star was to be seen in the sky.
652	裏	うら	noun	opposite side; bottom; other side	表が出たら僕の勝ち、裏が出たら君の勝ち。	Heads I win, tails you win.
653	近い	ちかい	i-adjective	near; close; short (distance)	あれ、そんなに近いとは知りませんでした。	Oh, I didn't know it was that close.
654	銀行	ぎんこう	noun	bank; banking institution	銀行に１０００ドル貯金した。	I made a deposit of $1,000 at the bank.
655	長い	ながい	i-adjective	long (distance, length)	彼のやたら長い話にはうんざりする。	He bored me with his endless tales.
656	いっぱい	いっぱい	noun	one cup (of); one glass (of); one bowl (of)	今月いっぱいここにいます。	I will stay here all this month.
657	もらう	もらう	verb	to receive; to take; to accept	短くしてもらわなければなりません。	I must have it shortened.
658	センター	センター	noun	centre; center	学生センターは話をするのに良いところだ。	The student center is a good place to strike up conversations.
659	不明	ふめい	na-adjective	unclear; obscure; indistinct	現在その病気の原因は不明である。	At present, the cause of the disease is unknown.
660	京都	きょうと	noun	Kyoto (city, prefecture)	京都には訪れる場所がたくさんあります。	There are many places to visit in Kyoto.
661	出会い	であい	noun	meeting; rendezvous; encounter	それは偶然の出会いであった。	It was a chance meeting.
662	参考	さんこう	noun	reference; consultation	辞書は優れた参考本だ。	A dictionary is an excellent reference book.
663	友人	ゆうじん	noun	friend	彼の友人はそれぞれこの夏、キャンプに行く。	Each of his friends is going to camp this summer.
664	地球	ちきゅう	noun	Earth; the globe	実際に地球はどんどん温かくなっている。	Actually, the earth is getting warmer.
665	実施	じっし	noun	enforcement; implementation; putting into practice	その組織はまもなく実施されます。	The system will go into operation in a short time.
666	必ず	かならず	adverb	always; without exception; necessarily	必ず二時に電話してください。	Never fail to call me up at two o'clock.
667	更新	こうしん	noun	renewal; update; replacement	私は先月、運転免許証を更新してもらった。	I had my driver's license renewed last month.
668	購入	こうにゅう	noun	purchase; buying	その他購入するものはありますでしょうか。	Will there be anything else?
669	階	かい	noun	storey; story; floor	どうぞ３階へ上がってください。	Please go up to the third floor.
670	馬	うま	noun	horse	あの馬の速くはしること！	How fast that horse runs!
671	ごと	ごと	noun	each; every	毎日曜日に教会に行きます。	I go to church every Sunday.
672	どうぞ	どうぞ	adverb	please; kindly; pray	どうぞ健康に注意してください。	Please be careful of your health.
673	シーン	シーン	noun	scene; sight	あの美しいシーンが目に浮かぶ。	The beautiful scene comes to my mind.
674	スーパー	スーパー	noun	supermarket	その新しいスーパーは先月開店した。	The new supermarket was opened last month.
675	人々	ひとびと	noun	people; men and women	彼は人々についてあまり知らなかった。	He knew little about the people.
676	卒業	そつぎょう	noun	graduation; completion (of a course)	やっと中学を卒業しました。	At last, I graduated from junior high school.
677	周り	まわり	noun	circumference; girth	太陽は地球の周りを回ると信じられていた。	It was believed that the sun went around the earth.
678	四	し	number	four; 4	四時間以上も歩きつづけています。	I have been walking for over four hours.
679	国民	こくみん	noun	people (of a country); nation; citizen	国民全体が大きな変化を望んでいる。	The country at large is hoping for great changes.
680	大統領	だいとうりょう	noun	president (of a country)	大統領は思わず笑ってしまった。	The president laughed in spite of himself.
681	宇宙	うちゅう	noun	universe; cosmos; space	アメリカは宇宙技術において進んでいる。	America is ahead in space technology.
682	対策	たいさく	noun	measure; step; countermeasure	これは有効な犯罪防止対策だ。	This is an effective remedy for crime.
683	少女	しょうじょ	noun	girl (usu. between 7 and 17); young lady	少女たちは並んで座っていました。	The girls were sitting side by side.
684	時点	じてん	noun	point in time; occasion	彼らは多くの労働者たちをその時点で一時解雇した。	They laid off many workers at that point.
685	村	むら	noun	village	その村はますます住みにくくなるだろう。	It will become more and more difficult to live in the village.
686	正直	しょうじき	na-adjective	honest; frank; candid	正直に言って彼は信頼できない。	Honestly, I can't trust him.
687	皆さん	みなさん	noun	all; everyone; everybody	みなさん、落ち着いてください。	Please keep yourselves calm.
688	真	しん	noun	truth; reality; genuineness	彼の真のねらいを理解できない。	I fail to understand his true aim.
689	肉	にく	noun	flesh	冷蔵庫には肉は残っていません。	There is no meat left in the fridge.
690	かかる	かかる	verb	to take (a resource, e.g. time or money)	手数料は３パーセントかかります。	We charge a commission of 3%.
691	どちら	どちら	pronoun	which way; which direction; where	彼らのうちどちらがうまく歌えるでしょうか？	Which of them can sing better?
692	なんと	なんと	adverb	what; how	なんと不思議な偶然の一致だろう。	What a coincidence!
693	コメント	コメント	noun	comment	コメントを用意してきてください。	Please come prepared to provide your comments.
694	トップ	トップ	noun	top	彼女は試験にトップで合格した。	She passed first in the exam.
695	以降	いこう	noun	on and after; from ... onward; since	九時以降はテレビを見ないことにしている。	I make it a rule not to watch television after nine o'clock.
696	価格	かかく	noun	price; value; cost	過去５年間価格を上げてません。	We haven't had a price increase in the last five years.
697	学	がく	noun	learning; scholarship; study	少年老い易く学成り難し。	Art is long, time is fleeting.
698	差	さ	noun	difference; variation	それは大変な差である。	It makes all the difference.
699	息子	むすこ	noun	son	彼女はひどく心配して息子を待っていた。	She was waiting for her son with great anxiety.
700	明らか	あきらか	na-adjective	clear; obvious; evident	明らかに全員出席しているように見えました。	It clearly looked as if everyone was present.
701	楽	らく	noun	comfort; ease; relief	この飛行機は楽に４００人運ぶことができる。	This airplane accommodates 400 passengers quite comfortably.
702	消費	しょうひ	noun	consumption; expenditure; spending	日本は紙を大量に消費する。	Japan consumes a lot of paper.
703	火	ひ	noun	fire; flame; blaze	それを取ってきてそして火に入れて下さい。	Get it and put it on the fire.
704	犯罪	はんざい	noun	crime; offence; offense	彼はその犯罪に関して無罪だった。	He was innocent of the crime.
705	監督	かんとく	noun	supervision; control; superintendence	監督に従って行動しなくてはいけない。	You must act under the leadership of your supervisor.
706	素晴らしい	すばらしい	i-adjective	wonderful; splendid; magnificent	要するに、そのパーティーはすばらしかった。	In brief, the party was splendid.
707	経営	けいえい	noun	management; administration; operation	ＡＢＣジャパンの経営チームにようこそ。	Welcome to the management team at ABC Japan.
708	船	ふね	noun	ship; boat; watercraft	船はまもなく見えなくなった。	A ship was out of sight soon.
709	良	りょう	noun	good (quality, condition, etc.)	今学期は良が２つあった。	I got two Bs this semester.
710	読み	よみ	noun	reading	案外、この本は読みやすいね。	This book is surprisingly easy to read, isn't it?
711	負け	まけ	noun	defeat; loss; losing (a game)	彼は負けを認めなかった。	He didn't acknowledge defeat.
712	通常	つうじょう	adjective	usual; ordinary; normal	病気は通常１つではなく、多様な原因によって起こる。	Illness usually has a variety of causes, not just one.
713	障害	しょうがい	noun	obstacle; impediment; hindrance	彼はあらゆる障害にも関わらず成功した。	He succeeded in spite of all difficulties.
714	電車	でんしゃ	noun	train; electric train	今朝もいつも乗る電車に間に合わなかった。	This morning I missed the train I usually take.
715	食べる	たべる	verb	to eat	毎日新鮮な野菜サラダを食べてます。	We eat a fresh, green salad every day.
716	または	または	conjunction	or; either ... or ...	紅茶またはコーヒーはいかが？	Would you like some tea or coffee?
717	よる	よる	verb	to be due to; to be caused by	造られたもので、この方によらずできたものは一つもない。	Without him nothing was made that has been made.
718	アイドル	アイドル	noun	performer (usu. in a boy band or girl group) with an image cultivated to foster a dedicated fan following; Japanese idol	彼女はいわば我々のアイドルだった。	She was, so to speak, our idol.
719	セックス	セックス	noun	sex; sexual intercourse	戦争するよりセックスしよう。	Make love, not war.
720	ホテル	ホテル	noun	hotel	そのホテルは５００人宿泊できる。	The hotel can accommodate 500 guests.
721	ロシア	ロシア	noun	Russia	ロシアは大変な財政困難に直面している。	Russia is facing great financial difficulties.
722	作業	さぎょう	noun	work; operation; task	これらの作業は技術的に不可能である。	These operations are technically impossible.
723	値	あたい	noun	price; cost	この本はもっと安い値で買った。	I bought this book for less.
724	国家	こっか	noun	state; country; nation	日本は自由国家群に受け入れられた。	Japan has been received into the family of free nations.
725	多数	たすう	noun	large number (of); many	この列車にはかなり多数の乗客が乗っている。	There are not a few passengers on this train.
726	役	やく	noun	role; assignment; responsibility	その２つの役は同一の女優によって演じられた。	The two parts were played by one and the same actress.
727	戦い	たたかい	noun	battle; war; fight	激しい戦いが兵士によってなされた。	A fierce battle was fought by the soldiers.
728	疲れ	つかれ	noun	tiredness; fatigue	熱心に勉強して彼らは疲れを感じた。	They felt weary after their hard work.
729	素敵	すてき	na-adjective	lovely; wonderful; charming	すてきなレストラン。連れてきてもらえて嬉しい。	This is a nice restaurant. Thanks for bringing me here.
730	続ける	つづける	verb	to continue; to keep up; to keep on	彼女は疲れ過ぎて働き続けられなかった。	She was too tired to go on working.
731	聞く	きく	verb	to hear	聞けば聞くほどますます面白くなる。	The more I hear, the more interesting it becomes.
732	脳	のう	noun	brain	彼らは脳の機能について研究している。	They study about the function of the brain.
733	行為	こうい	noun	act; deed; conduct	君の行為にはまったくがまんできない。	Your conduct is beyond bearing.
734	途中	とちゅう	noun	on the way; en route	昨日、家に帰る途中、夕立にあいました。	I was caught in a shower on my way home yesterday.
735	非	ひ	noun	fault; error; mistake	彼はどうしても非を認めなかった。	He would not admit his fault.
736	スタッフ	スタッフ	noun	staff; staff member	スタッフ全員が出席したわけではありません。	Not all of the staff was present.
737	ドイツ	ドイツ	noun	Germany	当時ドイツは強力な軍隊を持っていた。	Germany then had a powerful army.
738	仕方	しかた	noun	way; method; means	その仕方を教えてください。	Show me how to do it.
739	入れる	いれる	verb	to put in; to let in; to take in	熱いコーヒーを入れてあげましょう。	Let me make you a cup of hot coffee.
740	制度	せいど	noun	system; institution; organization	大手銀行の大半がこの制度を導入している。	The majority of big banks are introducing this system.
741	制限	せいげん	noun	restriction; restraint; limitation	彼はこの二ヶ月間食事制限をしている。	He has been on a diet for two months.
742	取引	とりひき	noun	transactions; dealings; business	あなたと取り引きします。	I make you a deal.
743	国際	こくさい	adjective	international	まもなく新東京国際空港に着陸します。	In a few minutes we'll be landing at New Tokyo International Airport.
744	地方	ちほう	noun	district; region; area	その変わった習慣はその地方特有のものだ。	The odd custom is peculiar to the region.
745	完成	かんせい	noun	completion; perfection; accomplishment	私は仕事を完成するよう努力しましょう。	I will endeavor to complete my task.
746	少年	しょうねん	noun	boy	少年は奴隷として売られた。	The boy was sold into slavery.
747	方向	ほうこう	noun	direction; orientation; bearing	軍隊は違う方向に進んでいた。	The army was advancing in the wrong direction.
748	有名	ゆうめい	na-adjective	famous; well-known	その有名な医者はエイズについて演説した。	The famous doctor made a speech on AIDS.
749	本気	ほんき	noun	seriousness; earnestness; truth	さあ、そろそろ本気で勉強を始めなくちゃ。	It's time to hit the books.
750	森	もり	noun	forest	彼女は恐くて森を通れなかった。	She was afraid to pass through the woods.
751	生産	せいさん	noun	production; manufacture	この工場の生産高は２０％増加している。	The output of this factory has increased by 20%.
752	石	いし	noun	stone; rock; pebble	世界中から集められた石が使われています。	Stones collected from all over the world are used.
753	自己	じこ	noun	self; oneself	消極的なその男はめったに自己表現しない。	The passive man seldom, if ever, expresses himself.
754	ちなみに	ちなみに	conjunction	by the way; in this connection; incidentally	ちなみに私は英語がからきし駄目なんです。	By the way, my English is absolutely hopeless.
755	よろしく	よろしく	expression	well; properly; suitably	お母さんによろしくお伝えください。	Please give my best regards to your mother.
756	ドル	ドル	noun	dollar	私は毎月１０ドルずつ貯金しています。	I put away 10 dollars each month.
757	会議	かいぎ	noun	meeting; conference; session	ただいまその問題について会議中です。	They are now sitting in conference on that question.
758	健康	けんこう	noun	health	彼の健康は徐々に回復している。	His health is improving little by little.
759	勝手	かって	noun	one's own convenience; one's way; selfishness	いつまでもぶつくさ言っているのは君の勝手だけどね、それじゃあ事態は何一つ変わらないよ。	You can complain 'til the cows come home, but it's not going to make a bit of difference.
760	北	きた	noun	north	２５号線北方面の入り口付近にいます。	I'm near the on ramp to 25 north.
761	北海道	ほっかいどう	noun	Hokkaido (island, prefectural-level administrative unit)	北海道がいつも寒いわけではない。	It is not always cold in Hokkaido.
762	半	はん	noun	half; semi-; partial	彼が出発して３時間半が経過した。	Three and a half hours have passed since he left.
763	器	うつわ	noun	bowl; vessel; container	彼は将来国家の棟梁たるべき器だ。	He has the capacity to be a future leader of the nation.
764	外国	がいこく	noun	foreign country	私の父は長年、外国貿易に従事しています。	My father has been engaged in foreign trade for many years.
765	大量	たいりょう	na-adjective	large quantity; massive (quantity); mass (e.g. mass production, mass transit, mass destruction)	日本は紙を大量に消費する。	Japan consumes a lot of paper.
766	委員	いいん	noun	committee member	委員たちは不思議な経験について次々に答えた。	The members told us about the strange experience in turns.
767	左	ひだり	noun	left; left-hand side	コンピューターは彼女の左にある。	The computer is placed to the left of the women.
768	平成	へいせい	noun	Heisei era (1989.1.8-2019.4.30)	昭和の次は平成です。	Heisei is next after the Showa era.
769	当然	とうぜん	adjective	natural; right; proper	君は当然参加するものと思っている。	I take it for granted that you will join.
770	恋	こい	noun	(romantic) love	彼女に恋している。	I fell in love with her.
771	旅	たび	noun	travel; trip; journey	旅はおよそ５時間くらいかかるでしょう。	The trip will take some five hours.
772	特徴	とくちょう	noun	feature; trait; characteristic	この計画の主要な特徴はまだ曖昧です。	The main feature of this scheme is still ambiguous.
773	選択	せんたく	noun	choice; selection; option	クリスの行動を選択して下さい。	Select action for Chris.
774	野球	やきゅう	noun	baseball	彼の野球生活はその時終わった。	His baseball life ended then.
775	雨	あめ	noun	rain	明日雨ならば行きません。	I would not go if it rains tomorrow.
776	食事	しょくじ	noun	meal (e.g. lunch, dinner)	冷たい食事は、避けてください。	You shouldn't eat anything cold.
777	魔法	まほう	noun	magic; witchcraft; sorcery	わたしは魔法を信じている。	I believe in magic.
778	これら	これら	pronoun	these	これらの問題はきわめて簡単に答えられる。	These questions can be answered quite simply.
779	に関して	にかんして	expression	regarding ...; concerning ...; about ...	私に関しては、すべてうまく行っている。	All is well with me.
780	ソフト	ソフト	na-adjective	soft	そのソフトは完璧からほど遠い。	That program is still far from perfect.
781	人物	じんぶつ	noun	person; character; figure	彼がどんな人物かよくわからない。	I can't figure him out.
782	反対	はんたい	noun	opposition; resistance; antagonism	反対に直面してそうせざるを得なかった。	He couldn't help doing so in the face of opposition.
783	名古屋	なごや	noun	Nagoya (city)	かつて彼らは名古屋にすんでいた。	At one time they lived in Nagoya.
784	客	きゃく	noun	guest; visitor	客として扱われて、彼女は満足だった。	She was pleased to be treated as a guest.
785	専用	せんよう	noun	(one's) exclusive use; private use; personal use	彼は自分専用の電話を持っている。	He has a telephone to himself.
786	弁護士	べんごし	noun	lawyer; attorney	彼は１０年以上も弁護士として開業してきた。	He has been in practice as a lawyer for more than ten years.
787	意見	いけん	noun	opinion; view; comment	彼の意見は受け入れられなかった。	His opinion was not accepted.
788	成長	せいちょう	noun	growth; development; growing up	彼女は成長するにつれて次第に美しくなった。	As she grew up, she became more and more beautiful.
789	指定	してい	noun	designation; specification; assignment	別の日をご指定いただけませんか。	Could you suggest an alternative date?
790	採用	さいよう	noun	use; adoption; acceptance	君の考えが気に入って、採用した。	I liked your idea and adopted it.
791	機関	きかん	noun	engine	調査機関がその効果を調べた。	A research organization investigated the effect.
792	無駄	むだ	noun	futility; waste; uselessness	時間を無駄に過ごしてしまう。	He idles away his time.
793	箱	はこ	noun	box; case; chest	この箱はトニー君によって作られました。	This box was made by Tony.
794	若い	わかい	i-adjective	young; youthful	彼女は若いときたいへん美しかった。	She was very beautiful when she was young.
795	製	せい	noun	make; manufacture; -made	この手作りのイタリア製チタン自転車は、恐ろしく軽い。	This handmade Italian-made titanium bicycle is terribly light.
796	赤	あか	noun	red; crimson; scarlet	危険な時には赤ランプが点きます。	The red lamp lights up in case of danger.
797	逮捕	たいほ	noun	arrest; apprehension; capture	あなたを逮捕します。	You are under arrest.
798	郡	ぐん	noun	district; county	これは豊能郡の地図です。	This is a map of the Toyono district.
799	髪	かみ	noun	hair (on the head)	彼の髪はますます薄くなった。	His hair got thinner and thinner.
800	パン	パン	noun	bread; (sweet) pastry	そうですね、パンを焼いたりします。	Well, I bake bread.
801	ライン	ライン	noun	line	ライン川はフランスとドイツの間を流れている。	The Rhine runs between France and Germany.
802	ロック	ロック	noun	rock (music)	彼はロック歌手として知られている。	He is known as a rock singer.
803	予想	よそう	noun	expectation; anticipation; prediction	そんな渋滞は予想していなかった。	I hadn't bargained on such a heavy traffic jam.
804	今後	こんご	noun	from now on; hereafter	今後もっと一生懸命勉強すると決意した。	I've made up my mind to study harder from now on.
805	医療	いりょう	noun	medical treatment; medical care	乳幼児に対する医療がもっと必要である。	We need more medical care for infants.
806	南	みなみ	noun	south	オーストラリアは南アメリカより小さい。	Australia is smaller than South America.
807	命	いのち	noun	life; life force	命ある限り希望あり。	While there is life, there is hope.
808	変化	へんか	noun	change; variation; alteration	世界はますます急速に変化している。	The world is changing more and more quickly.
809	夫	おっと	noun	husband	夫はまもなく帰ってきます。	It won't be long before my husband comes back.
810	新聞	しんぶん	noun	newspaper	新聞を読み終わったら渡してくれる？	Can I have the paper when you're finished with it?
811	特定	とくてい	adjective	specific; particular; designated	警察はいまだ犯人を特定できないでいる。	The police still can't point out who committed the crime.
812	男子	だんし	noun	boy	私たちのクラスには男子２５名、女子２０名いる。	Our class has twenty-five boys and twenty girls.
813	編集	へんしゅう	noun	editing; compilation	彼は多少編集の知識がある。	He has some knowledge of editing.
814	読む	よむ	verb	to read	彼の小説は全部読んでいます。	I have read all his novels.
815	賞	しょう	noun	prize; award	賞としてこのアルバムをあげよう。	You shall have this album as a prize.
816	通信	つうしん	noun	correspondence; communication; transmission	この会社は通信部門でよく知られている。	This corporation is well known for its communication equipment.
817	都	みやこ	noun	capital (esp. Kyoto, Japan's former capital); seat of government	奈良はとても古い都です。	Nara is a very old city.
818	さすが	さすが	adverb	as one would expect; just as you'd expect (from); just like (someone)	彼はさすが大学に行っただけのことはある。	He did not go to college for nothing.
819	つく	つく	verb	to be lit (of a lamp, burner, etc.); to catch fire; to ignite	突然その光はついた。	All of a sudden, the lights went on.
820	における	における	expression	in; at; on	彼の発見は輸送における革命をもたらした。	His discovery gave rise to a revolution in transport.
821	オリジナル	オリジナル	adjective	original	遅延便については、オリジナルの出発日に基づくシーズナリティを適用するため、マイル差額の払い戻しはいたしません。	For delayed flights, seasonal adjustments are made on the basis of the original flight date and so refunds of air-mile difference will not be made.
822	カップ	カップ	noun	cup (drinking vessel, measure, brassiere, prize, etc.)	素敵なカップを見つけた。	I found a nice cup.
823	テスト	テスト	noun	test (of ability, knowledge, etc.); exam; examination	そのテストはむずかしかった。	I found the test difficult.
824	五	ご	number	five; 5	私は五年間ずっと英語を勉強し続けている。	I have been studying English for five years.
825	制作	せいさく	noun	work (film, book)	彼の次の制作は非常に意欲的なミュージカルだった。	His next production was a very ambitious musical.
826	壁	かべ	noun	wall; partition	この壁はとても冷たい感じがする。	This wall feels very cold.
827	大きい	おおきい	i-adjective	big; large; great	もっと大きい声で言ってください。	Louder, please.
828	妹	いもうと	noun	younger sister	私の妹はいま勉強してません。	My sister isn't studying now.
829	席	せき	noun	seat	どうぞこの席にお座り下さい。	Take this seat, please.
830	掲載	けいさい	noun	publication (e.g. of an article in a newspaper); carrying (e.g. a story); running (e.g. a serial)	それは昨日の産経新聞に掲載された。	It came out in yesterday's Sankei.
831	新た	あらた	na-adjective	new; fresh; novel	それで間もなく新たな問題が明らかになってきた。	So a new problem soon became apparent.
832	条件	じょうけん	noun	condition; term; requirement	その条件ならば、同意しましょう。	We will only consent on that condition.
833	現場	げんば	noun	actual spot; scene (of a crime, accident, etc.)	私は現場に行ってみた。	I went to the scene of the crime.
834	直接	ちょくせつ	na-adjective	direct; immediate; personal	そのレポーターは戦争について直接に知った。	The reporter learned about war first hand.
835	福岡	ふくおか	noun	Fukuoka (city, prefecture)	父は福岡に小さな店を持っています。	My father owns a small business in Fukuoka.
836	耳	みみ	noun	ear	彼女の声はまだ私の耳に残っている。	Her voice still rings in my ears.
837	観光	かんこう	noun	sightseeing; tourism	今日の午後この町を観光した。	We saw the sights of the city this afternoon.
838	クラス	クラス	noun	class	その忙しいクラスで私の声は通らなかった。	I could not make myself heard in the noisy class.
839	コード	コード	noun	code; program	彼は機械にコードをつないだ。	He connected the cord to the machine.
840	ランキング	ランキング	noun	ranking	ランキング参加中です。面白ければ、ポチッと♪	This site is in a toplist. If you found it interesting, please click!
841	応援	おうえん	noun	aid; assistance; help	彼らは皆その候補者を応援した。	They all boosted the candidate.
842	持ち	もち	noun	having; holding; possessing	この種の洋服地は持ちがよくないだろう。	The suit materials of this sort will not stand up well.
843	枠	わく	noun	frame; framework	彼はドア枠の下に立った。	He stood under the door frame.
844	治療	ちりょう	noun	(medical) treatment; care; therapy	発見が間に合えば、ガンは治療できる。	Cancer can be cured if discovered in time.
845	法律	ほうりつ	noun	law; legislation; act	あの古い法律はみな廃止されてしまった。	Those old laws were all done away with.
846	破壊	はかい	noun	destruction; disruption	その火事が高いビルを破壊した。	The fire destroyed the tall building.
847	種類	しゅるい	noun	variety; kind; type	私は新聞を２種類購読している。	I subscribe to two newspapers.
848	級	きゅう	noun	(school) grade; year; class	彼はあしたヘビー級チャンピオンと対戦する。	He will fight the heavyweight champion tomorrow.
849	あたり	あたり	noun	(in the) neighbourhood; neighborhood; vicinity	雨があたりいっぱい降っている。	The rain is raining all around.
850	いくつ	いくつ	adverb	how many	幾つでも好きなだけ上げましょう。	I'll give you as many as you like.
851	すでに	すでに	adverb	already	最終列車はすでに出発してしまった。	The last train has already gone.
852	それでも	それでも	conjunction	but (still); and yet; nevertheless	それでもやはり、彼は罰せられた。	He was punished all the same.
853	はじめ	はじめ	noun	beginning; start; outset	初めよければすべてよし。	Well begun, well finished.
854	ツアー	ツアー	noun	tour	このツアーは一人いくらですか。	How much is the tour per person?
855	プレイ	プレイ	noun	play; recreation	彼はなんとうまくプレーしたことでしょう。	How well he played!
856	不安	ふあん	noun	anxiety; uneasiness; worry	彼が去った後、彼女は不安に感じ始めた。	After he left, she started feeling uneasy.
857	事務所	じむしょ	noun	office	彼女はある事務所で秘書として働いている。	She works as a secretary in an office.
858	動き	うごき	noun	movement; move; motion	母はいつも忙しく動きまわっている。	My mother is always on the go.
859	小説	しょうせつ	noun	novel; story; (work of) fiction	彼の小説は全部読んでいます。	I have read all his novels.
860	局	きょく	noun	bureau; department	この地区では三局受信できます。	We can get three stations in this area.
861	州	しゅう	noun	state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK)	州知事がテレビに自ら出演した。	The governor appeared on TV in person.
862	年齢	ねんれい	noun	age; years	彼も年齢には勝てなくなってきている。	His age is beginning to tell on him.
863	投票	とうひょう	noun	voting; ballot; poll	最終投票がすべてを決めた。	The final vote was decisive.
864	旅行	りょこう	noun	travel; trip; journey	旅行中はほとんど米は食べられなかった。	We were able to eat little rice during the tour.
865	機会	きかい	noun	chance; opportunity; occasion	この機会を与えてくださり深く感謝しております。	I'm so grateful to you for this opportunity.
866	活躍	かつやく	noun	activity (esp. energetic or successful); great efforts; active participation	元気で活躍していることと思います。	I hope things have been going well for you.
867	美しい	うつくしい	i-adjective	beautiful; pretty; lovely	彼女は若いときたいへん美しかった。	She was very beautiful when she was young.
868	趣味	しゅみ	noun	hobby; pastime	あなたの趣味について話してください。	Please tell me about your hobbies.
869	飲む	のむ	verb	to drink; to swallow; to take (medicine)	冷たいものを飲みたくてたまらない。	I'm dying for a cold drink.
870	おかしい	おかしい	i-adjective	funny; amusing; comical	おかしくない。変更した。	No, I changed it.
871	おはよう	おはよう	interjection	good morning	皆さんおはよう。	Good morning, everybody.
872	とる	とる	verb	to have (e.g. lunch); to take (e.g. vitamins)	朝食はたいてい軽くとります。	I usually have a light breakfast.
873	コーヒー	コーヒー	noun	coffee	残念だけどコーヒーがなくなりました。	I'm afraid I've run short of coffee.
874	テーマ	テーマ	noun	theme; topic; subject matter	両方の展望にはある共通のテーマがある。	A common theme underlies both perspectives.
875	トイレ	トイレ	noun	toilet; restroom; bathroom	バス・トイレ付きですか。	Does it have a toilet?
876	プレゼント	プレゼント	noun	present; gift	彼は私のプレゼントを受け取ってくれた。	He accepted my present.
877	ユーザー	ユーザー	noun	user	ゲイツ会長、広告収入をユーザーに還元する意向表明。	Bill Gates announces intent to return advertising revenue to the users.
878	丸	まる	noun	circle	円はドルに対して１０％上昇した。	The yen appreciated 10 percent against the dollar.
879	代わり	かわり	noun	substitute; replacement; substituting	行けない代わりに、贈り物をおくった。	Instead of going myself, I sent a gift.
880	勝利	しょうり	noun	victory; triumph; win	勝利をめざして闘った。	We fought hard for victory.
881	土	つち	noun	earth; soil; dirt	土日月の午前１０時半から午後４時まで開館。	Open from 10:30am to 4pm on Sat, Sun, and Mon.
882	地震	じしん	noun	earthquake	将来大きな地震が起きるかもしれない。	There will be a big earthquake in the future.
