#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜ましょうか	〜ましょうか	N5	shall I ~? / shall we ~?	Verb ます-stem + ましょうか	Offers help or proposes an action, checking the listener&#x27;s wishes.		<div class="ex"><div class="jp"><ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けましょうか。</div><div class="en">Shall I open the window?</div></div><div class="ex"><div class="jp">あの<ruby>人<rt>ひと</rt></ruby>のために<ruby>何<rt>なに</rt></ruby>か<ruby>買<rt>か</rt></ruby>ってあげましょうか。</div><div class="en">Shall I buy some for him?</div></div><div class="ex"><div class="jp">お<ruby>手伝<rt>てつだ</rt></ruby>いしましょうかって<ruby>言<rt>い</rt></ruby>いましたのよ。</div><div class="en">I said, &quot;Is there anything I can do?&quot;</div></div><div class="ex"><div class="jp">ケンにあとでこちらから<ruby>電話<rt>でんわ</rt></ruby>しましょうか。</div><div class="en">Shall I call Ken back?</div></div>	jlpt::N5
〜ましょうか (offer)	〜ましょうか (offer)	N5	shall I do it for you?	Verb ます-stem + ましょうか	Used when the speaker offers to act on the listener&#x27;s behalf.		<div class="ex"><div class="jp"><ruby>荷物<rt>にもつ</rt></ruby>を<ruby>持<rt>も</rt></ruby>ちましょうか。</div><div class="en">Shall I carry your luggage?</div></div><div class="ex"><div class="jp">あの<ruby>人<rt>ひと</rt></ruby>のために<ruby>何<rt>なに</rt></ruby>か<ruby>買<rt>か</rt></ruby>ってあげましょうか。</div><div class="en">Shall I buy some for him?</div></div><div class="ex"><div class="jp">お<ruby>手伝<rt>てつだ</rt></ruby>いしましょうかって<ruby>言<rt>い</rt></ruby>いましたのよ。</div><div class="en">I said, &quot;Is there anything I can do?&quot;</div></div><div class="ex"><div class="jp">ケンにあとでこちらから<ruby>電話<rt>でんわ</rt></ruby>しましょうか。</div><div class="en">Shall I call Ken back?</div></div>	jlpt::N5
〜ます	〜ます	N5	polite non-past verb ending	Verb ます-stem + ます	Expresses present habit or future action. Negative ません, past ました, past negative ませんでした.		<div class="ex"><div class="jp"><ruby>毎日<rt>まいにち</rt></ruby><ruby>日本語<rt>にほんご</rt></ruby>を<ruby>勉強<rt>べんきょう</rt></ruby>します。</div><div class="en">I study Japanese every day.</div></div>	jlpt::N5
〜ません	〜ません	N5	polite negative verb ending	Verb ます-stem + ません	The polite negative. Past negative is ませんでした.		<div class="ex"><div class="jp">お<ruby>酒<rt>さけ</rt></ruby>を<ruby>飲<rt>の</rt></ruby>みません。</div><div class="en">I don&#x27;t drink alcohol.</div></div><div class="ex"><div class="jp">あなたのご<ruby>親切<rt>しんせつ</rt></ruby>を<ruby>私<rt>わたし</rt></ruby>はけっして<ruby>忘<rt>わす</rt></ruby>れません。</div><div class="en">I shall never forget your kindness.</div></div><div class="ex"><div class="jp">あなたは<ruby>体<rt>からだ</rt></ruby>を<ruby>大事<rt>だいじ</rt></ruby>にしなければいけません。</div><div class="en">You must take care of yourself.</div></div><div class="ex"><div class="jp">あなたは<ruby>泳<rt>およ</rt></ruby>げる。しかし、<ruby>私<rt>わたし</rt></ruby>は<ruby>泳<rt>およ</rt></ruby>げません。</div><div class="en">You can swim, but I can&#x27;t swim.</div></div>	jlpt::N5
〜ませんか	〜ませんか	N5	won&#x27;t you ~? (invitation)	Verb ます-stem + ませんか	A polite invitation. More tentative, and therefore politer, than ましょう.		<div class="ex"><div class="jp"><ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>昼<rt>ひる</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べませんか。</div><div class="en">Won&#x27;t you have lunch with me?</div></div><div class="ex"><div class="jp">「いっしょにきませんか」「ええ、<ruby>喜<rt>よろこ</rt></ruby>んで」</div><div class="en">Won&#x27;t you come with us? &quot;I&#x27;d be glad to.&quot;</div></div><div class="ex"><div class="jp">あなたが<ruby>買<rt>か</rt></ruby>ったものを<ruby>見<rt>み</rt></ruby>せてくれませんか。</div><div class="en">Will you show me what you bought?</div></div><div class="ex"><div class="jp">あなたはお<ruby>金<rt>かね</rt></ruby>をいくらか<ruby>持<rt>も</rt></ruby>っていませんか。</div><div class="en">Do you have any money?</div></div>	jlpt::N5
〜まだ	〜まだ	N5	still / not yet	まだ + affirmative (still) / negative (not yet)	まだ〜ていません is the standard way to say something has not happened yet.		<div class="ex"><div class="jp">まだ<ruby>宿題<rt>しゅくだい</rt></ruby>をしていません。</div><div class="en">I haven&#x27;t done my homework yet.</div></div>	jlpt::N5
〜まだ〜ていません	〜まだ〜ていません	N5	have not ~ed yet	まだ + Verb て-form + いません	The standard answer to a もう〜ましたか question when the action is incomplete.		<div class="ex"><div class="jp">まだ<ruby>食<rt>た</rt></ruby>べていません。</div><div class="en">I haven&#x27;t eaten yet.</div></div>	jlpt::N5
〜も	〜も	N5	also / too	Noun + も	Replaces は, が and を rather than stacking with them. With a negative it means &quot;not ~ either&quot;.		<div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>も<ruby>行<rt>い</rt></ruby>きます。</div><div class="en">I will go too.</div></div>	jlpt::N5
〜も (quantity)	〜も (quantity)	N5	as many as / as much as	Number + counter + も	Marks a quantity the speaker finds surprisingly large.		<div class="ex"><div class="jp">ビールを<ruby>五<rt>ご</rt></ruby><ruby>本<rt>ほん</rt></ruby>も<ruby>飲<rt>の</rt></ruby>みました。</div><div class="en">I drank as many as five beers.</div></div>	jlpt::N5
〜もう	〜もう	N5	already	もう + verb (usually past)	With a negative it means &quot;no longer&quot;: もう食べません.		<div class="ex"><div class="jp">もう<ruby>昼<rt>ひる</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べました。</div><div class="en">I have already eaten lunch.</div></div>	jlpt::N5
〜や	〜や	N5	and (partial list)	Noun + や + Noun (+ など)	Lists representative examples, implying there are others. Often closed with など.		<div class="ex"><div class="jp"><ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>やノートがあります。</div><div class="en">There are books and notebooks (among other things) on the desk.</div></div>	jlpt::N5
〜よ	〜よ	N5	~, you know (informing)	Sentence + よ	Presents information the speaker believes is new to the listener. Overuse sounds pushy.		<div class="ex"><div class="jp">この<ruby>店<rt>みせ</rt></ruby>は<ruby>安<rt>やす</rt></ruby>いですよ。</div><div class="en">This shop is cheap, you know.</div></div>	jlpt::N5
〜よく	〜よく	N5	often / well	よく + verb	Means &quot;often&quot; with habitual actions and &quot;well&quot; with ability.		<div class="ex"><div class="jp">よく<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ます。</div><div class="en">I often watch movies.</div></div>	jlpt::N5
〜より〜のほうが	〜より〜のほうが	N5	~ is more ~ than ~	A より B のほうが + adjective	B is the item with more of the quality. The より phrase may be dropped once context is clear.		<div class="ex"><div class="jp"><ruby>電車<rt>でんしゃ</rt></ruby>より<ruby>車<rt>くるま</rt></ruby>のほうが<ruby>速<rt>はや</rt></ruby>いです。</div><div class="en">Cars are faster than trains.</div></div>	jlpt::N5
〜を	〜を	N5	direct object marker	Noun + を	Marks what the verb acts on. Also marks the place moved through with motion verbs: 公園を歩く.		<div class="ex"><div class="jp">パンを<ruby>食<rt>た</rt></ruby>べます。</div><div class="en">I eat bread.</div></div>	jlpt::N5
〜前に	〜<ruby>前<rt>まえ</rt></ruby>に	N5	before ~	Verb dictionary form / Noun の + 前に	Always takes the dictionary form, never the past, regardless of the sentence&#x27;s tense.		<div class="ex"><div class="jp"><ruby>寝<rt>ね</rt></ruby>る<ruby>前<rt>まえ</rt></ruby>に<ruby>歯<rt>は</rt></ruby>を<ruby>磨<rt>みが</rt></ruby>きます。</div><div class="en">I brush my teeth before going to bed.</div></div>	jlpt::N5
〜(よ)う (volitional)	〜(よ)う (volitional)	N4	let&#x27;s ~ / I&#x27;ll ~	Group 1 お-row + う / Group 2 + よう / する→しよう	The plain counterpart of ましょう.	〜(よ)うと思う softens it into a stated intention.	<div class="ex"><div class="jp"><ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>行<rt>い</rt></ruby>こう。</div><div class="en">Let&#x27;s go together.</div></div><div class="ex"><div class="jp">そろそろ<ruby>帰<rt>かえ</rt></ruby>ろう。</div><div class="en">Let&#x27;s head home soon.</div></div><div class="ex"><div class="jp">あなたの<ruby>仕事<rt>しごと</rt></ruby>が<ruby>終<rt>お</rt></ruby>わった<ruby>後<rt>のち</rt></ruby>で<ruby>会<rt>あ</rt></ruby>いましょう。</div><div class="en">We will meet after you have finished your work.</div></div><div class="ex"><div class="jp">あの<ruby>人<rt>ひと</rt></ruby>のために<ruby>何<rt>なに</rt></ruby>か<ruby>買<rt>か</rt></ruby>ってあげましょうか。</div><div class="en">Shall I buy some for him?</div></div>	jlpt::N4
〜(よ)うと思う	〜(よ)うと<ruby>思<rt>おも</rt></ruby>う	N4	I&#x27;m thinking of ~ing	Volitional form + と思う	A decision made fairly recently. 〜と思っている suggests a longer-held plan.	Softer and less fixed than つもりだ.	<div class="ex"><div class="jp"><ruby>明日<rt>あした</rt></ruby>から<ruby>運動<rt>うんどう</rt></ruby>しようと<ruby>思<rt>おも</rt></ruby>います。</div><div class="en">I&#x27;m thinking of exercising from tomorrow.</div></div><div class="ex"><div class="jp"><ruby>来年<rt>らいねん</rt></ruby><ruby>留学<rt>りゅうがく</rt></ruby>しようと<ruby>思<rt>おも</rt></ruby>っている。</div><div class="en">I&#x27;m thinking of studying abroad next year.</div></div><div class="ex"><div class="jp">あなたはすぐに<ruby>良<rt>よ</rt></ruby>くなるだろうと<ruby>思<rt>おも</rt></ruby>います。</div><div class="en">I hope you&#x27;ll soon get well.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>たちはもういちど<ruby>彼<rt>かれ</rt></ruby>に<ruby>会<rt>あ</rt></ruby>おうと<ruby>思<rt>おも</rt></ruby>います。</div><div class="en">I reckon we&#x27;ll see him once more.</div></div>	jlpt::N4
〜うちに	〜うちに	N4	while ~ (before the state changes)	Verb dictionary / ている / ない-form / adjective + うちに	Do it while conditions still allow. 〜ないうちに means &quot;before ~ happens&quot;.	うちに warns the chance will pass; 間に is neutral timing.	<div class="ex"><div class="jp"><ruby>熱<rt>あつ</rt></ruby>いうちに<ruby>食<rt>た</rt></ruby>べてください。</div><div class="en">Please eat it while it&#x27;s hot.</div></div><div class="ex"><div class="jp"><ruby>暗<rt>くら</rt></ruby>くならないうちに<ruby>帰<rt>かえ</rt></ruby>りましょう。</div><div class="en">Let&#x27;s go home before it gets dark.</div></div>	jlpt::N4
〜お〜する	〜お〜する	N4	humble: I do ~ (for you)	お + Verb ます-stem + する	Lowers the speaker to show respect to the listener.	お〜する is about your own actions only.	<div class="ex"><div class="jp">お<ruby>荷物<rt>にもつ</rt></ruby>をお<ruby>持<rt>も</rt></ruby>ちします。</div><div class="en">I&#x27;ll carry your luggage.</div></div><div class="ex"><div class="jp"><ruby>後<rt>あと</rt></ruby>でお<ruby>電話<rt>でんわ</rt></ruby>します。</div><div class="en">I&#x27;ll call you later.</div></div><div class="ex"><div class="jp">タオルをもう１<ruby>枚<rt>まい</rt></ruby>お<ruby>持<rt>も</rt></ruby>ちします。</div><div class="en">I&#x27;ll bring one more towel.</div></div><div class="ex"><div class="jp"><ruby>紅茶<rt>こうちゃ</rt></ruby>はすぐにお<ruby>持<rt>も</rt></ruby>ちしますか、それとも<ruby>後<rt>ご</rt></ruby>になさいますか。</div><div class="en">Would you like your tea now or later?</div></div>	jlpt::N4
〜お〜になる	〜お〜になる	N4	honorific: (someone respected) does ~	お + Verb ます-stem + になる	Raises the status of the person acting. Never use about yourself.	お〜になる elevates others; お〜する humbles yourself.	<div class="ex"><div class="jp"><ruby>先生<rt>せんせい</rt></ruby>はもうお<ruby>帰<rt>かえ</rt></ruby>りになりました。</div><div class="en">The teacher has already gone home.</div></div><div class="ex"><div class="jp"><ruby>社長<rt>しゃちょう</rt></ruby>がお<ruby>話<rt>はな</rt></ruby>しになります。</div><div class="en">The president will speak.</div></div><div class="ex"><div class="jp">どのくらい<ruby>私<rt>わたし</rt></ruby>をお<ruby>待<rt>ま</rt></ruby>ちになっていましたか。</div><div class="en">How long have you been waiting for me?</div></div>	jlpt::N4
〜かどうか	〜かどうか	N4	whether or not ~	Plain form + かどうか	Embeds a yes/no question. With a question word, use か alone: 誰が来るか.	かどうか for yes/no; 〜か for open questions.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>が<ruby>来<rt>く</rt></ruby>るかどうか<ruby>分<rt>わ</rt></ruby>かりません。</div><div class="en">I don&#x27;t know whether he will come.</div></div><div class="ex"><div class="jp"><ruby>正<rt>ただ</rt></ruby>しいかどうか<ruby>確認<rt>かくにん</rt></ruby>してください。</div><div class="en">Please check whether it is correct.</div></div><div class="ex"><div class="jp">あなたがこられるかどうか<ruby>連絡<rt>れんらく</rt></ruby>して<ruby>下<rt>くだ</rt></ruby>さい。</div><div class="en">Let us know whether you can come.</div></div><div class="ex"><div class="jp">この<ruby>機械<rt>きかい</rt></ruby>がうまく<ruby>動<rt>うご</rt></ruby>くかどうかは<ruby>疑<rt>うたが</rt></ruby>わしい。</div><div class="en">It is doubtful whether this machine works well or not.</div></div>	jlpt::N4
〜かもしれない	〜かもしれない	N4	might / may ~	Plain form + かもしれない	A low-confidence guess. Polite: かもしれません.	かもしれない is weaker than でしょう, which is weaker than はずだ.	<div class="ex"><div class="jp"><ruby>明日<rt>あした</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>かもしれません。</div><div class="en">It might rain tomorrow.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>はもう<ruby>帰<rt>かえ</rt></ruby>ったかもしれない。</div><div class="en">He might have already gone home.</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>は<ruby>寒<rt>さむ</rt></ruby>くなり、<ruby>雪<rt>ゆき</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るかもしれません。</div><div class="en">It&#x27;s supposed to get colder and snow later today.</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby><ruby>出発<rt>しゅっぱつ</rt></ruby>したほうがいいかもしれませんね。</div><div class="en">I might as well leave today.</div></div>	jlpt::N4
〜がする	〜がする	N4	feel / smell / hear ~	Noun (音・におい・味・感じ) + がする	For sensations perceived involuntarily.	がする is passive perception; を感じる is active.	<div class="ex"><div class="jp">いいにおいがします。</div><div class="en">It smells good.</div></div><div class="ex"><div class="jp"><ruby>隣<rt>となり</rt></ruby>から<ruby>変<rt>へん</rt></ruby>な<ruby>音<rt>おと</rt></ruby>がした。</div><div class="en">A strange sound came from next door.</div></div><div class="ex"><div class="jp"><ruby>本当<rt>ほんとう</rt></ruby>によくなっている<ruby>感<rt>かん</rt></ruby>じがしますもの。</div><div class="en">I do feel on the mend.</div></div><div class="ex"><div class="jp">この<ruby>花<rt>はな</rt></ruby>は<ruby>美<rt>うつく</rt></ruby>しいだけでなく、よい<ruby>香<rt>かお</rt></ruby>りがします。</div><div class="en">These flowers are not only beautiful but also fragrant.</div></div>	jlpt::N4
〜がる	〜がる	N4	show signs of ~	Adjective stem + がる	Describes outward signs of a third party&#x27;s feelings.	がる observes others; そのまま adjectives describe oneself.	<div class="ex"><div class="jp"><ruby>弟<rt>おとうと</rt></ruby>は<ruby>犬<rt>いぬ</rt></ruby>を<ruby>怖<rt>こわ</rt></ruby>がっています。</div><div class="en">My little brother is afraid of dogs.</div></div><div class="ex"><div class="jp">みんな<ruby>新<rt>あたら</rt></ruby>しい<ruby>店<rt>みせ</rt></ruby>を<ruby>珍<rt>めずら</rt></ruby>しがっている。</div><div class="en">Everyone finds the new shop novel.</div></div>	jlpt::N4
〜こと (nominaliser)	〜こと (nominaliser)	N4	the act of ~ / that ~	Verb dictionary form + こと	Turns a verb into a noun for abstract statements.	こと is abstract; の is concrete and perceptible.	<div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>の<ruby>趣味<rt>しゅみ</rt></ruby>は<ruby>音楽<rt>おんがく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>くことです。</div><div class="en">My hobby is listening to music.</div></div><div class="ex"><div class="jp"><ruby>約束<rt>やくそく</rt></ruby>を<ruby>守<rt>まも</rt></ruby>ることが<ruby>大切<rt>たいせつ</rt></ruby>です。</div><div class="en">Keeping promises is important.</div></div><div class="ex"><div class="jp">お<ruby>互<rt>たが</rt></ruby>いに<ruby>理解<rt>りかい</rt></ruby>しあうことは<ruby>大切<rt>たいせつ</rt></ruby>なことです。</div><div class="en">To understand each other is important.</div></div><div class="ex"><div class="jp">この<ruby>種<rt>たね</rt></ruby>の<ruby>経験<rt>けいけん</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>にでもよくあることです。</div><div class="en">This kind of experience is familiar to everybody.</div></div>	jlpt::N4
〜ことがある (occasionally)	〜ことがある (occasionally)	N4	there are times when ~	Verb dictionary form + ことがある	An occasional occurrence, not a past experience.	Dictionary form: sometimes happens. た-form: have done before.	<div class="ex"><div class="jp">たまに<ruby>学校<rt>がっこう</rt></ruby>に<ruby>遅<rt>おく</rt></ruby>れることがあります。</div><div class="en">Sometimes I am late for school.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>怒<rt>おこ</rt></ruby>ることがある。</div><div class="en">There are times when he gets angry.</div></div><div class="ex"><div class="jp">あなたは<ruby>今<rt>いま</rt></ruby>まで<ruby>鯨<rt>くじら</rt></ruby>を<ruby>見<rt>み</rt></ruby>たことがありますか。</div><div class="en">Have you ever seen a whale?</div></div><div class="ex"><div class="jp">あなたは<ruby>北海道<rt>ほっかいどう</rt></ruby>に<ruby>行<rt>い</rt></ruby>ったことがありますか。</div><div class="en">Have you been to Hokkaido?</div></div>	jlpt::N4
〜ことにする	〜ことにする	N4	decide to ~	Verb dictionary form / ない-form + ことにする	A decision the speaker makes. ことにしている marks an established rule of one&#x27;s own.	ことにする is one&#x27;s own decision; ことになる is a decision made elsewhere.	<div class="ex"><div class="jp"><ruby>来月<rt>らいげつ</rt></ruby><ruby>引<rt>ひ</rt></ruby>っ<ruby>越<rt>こ</rt></ruby>すことにしました。</div><div class="en">I&#x27;ve decided to move next month.</div></div><div class="ex"><div class="jp">お<ruby>酒<rt>さけ</rt></ruby>を<ruby>飲<rt>の</rt></ruby>まないことにした。</div><div class="en">I decided not to drink alcohol.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>法律<rt>ほうりつ</rt></ruby>をやめて<ruby>美術<rt>びじゅつ</rt></ruby>をやることにしました。</div><div class="en">He decided to abandon law for art.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>が<ruby>毎日<rt>まいにち</rt></ruby><ruby>日記<rt>にっき</rt></ruby>を<ruby>付<rt>つ</rt></ruby>けているのに<ruby>刺激<rt>しげき</rt></ruby>されて、<ruby>私<rt>わたし</rt></ruby>も<ruby>英語<rt>えいご</rt></ruby>で<ruby>日記<rt>にっき</rt></ruby>を<ruby>付<rt>つ</rt></ruby>けることにしました。</div><div class="en">He writes a daily journal, and that inspired me to try doing the same thing, but in English.</div></div>	jlpt::N4
〜ことになる	〜ことになる	N4	it has been decided that ~	Verb dictionary form / ない-form + ことになる	An outcome arranged by circumstances or by others.	ことになる is passive arrangement; ことにする is personal choice.	<div class="ex"><div class="jp"><ruby>来週<rt>らいしゅう</rt></ruby><ruby>出張<rt>しゅっちょう</rt></ruby>することになりました。</div><div class="en">It has been decided that I&#x27;ll go on a business trip next week.</div></div><div class="ex"><div class="jp"><ruby>試験<rt>しけん</rt></ruby>は<ruby>中止<rt>ちゅうし</rt></ruby>になることになった。</div><div class="en">It was decided that the exam would be cancelled.</div></div><div class="ex"><div class="jp"><ruby>友人<rt>ゆうじん</rt></ruby>の<ruby>結婚式<rt>けっこんしき</rt></ruby>にアカペラで<ruby>歌<rt>うた</rt></ruby>うことになりました。</div><div class="en">I&#x27;m going to be singing a cappella at a friend&#x27;s wedding ceremony.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>の<ruby>日本<rt>にっぽん</rt></ruby>の<ruby>級友<rt>きゅうゆう</rt></ruby><ruby>達<rt>たち</rt></ruby>は、いつも<ruby>一緒<rt>いっしょ</rt></ruby>にいるので、お<ruby>互<rt>たが</rt></ruby>いに<ruby>大変<rt>たいへん</rt></ruby>よく<ruby>知<rt>し</rt></ruby>り<ruby>合<rt>あ</rt></ruby>うことになりました。</div><div class="en">Being together all the time, my Japanese classmates got to know each other very well.</div></div>	jlpt::N4
〜ございます	〜ございます	N4	there is (very polite)	Noun + がございます	The polite equivalent of あります, standard in shops and formal service.	ございます is politer than あります, which is politer than ある.	<div class="ex"><div class="jp">お<ruby>手洗<rt>てあら</rt></ruby>いは<ruby>二<rt>に</rt></ruby><ruby>階<rt>かい</rt></ruby>にございます。</div><div class="en">The restroom is on the second floor.</div></div><div class="ex"><div class="jp">こちらに<ruby>商品<rt>しょうひん</rt></ruby>がございます。</div><div class="en">The goods are over here.</div></div><div class="ex"><div class="jp">いろいろとご<ruby>親切<rt>しんせつ</rt></ruby>にありがとうございます。</div><div class="en">Thank you very much for all your kindness.</div></div><div class="ex"><div class="jp">ご<ruby>親切<rt>しんせつ</rt></ruby>のほど<ruby>本当<rt>ほんとう</rt></ruby>にありがとうございます。</div><div class="en">I am so much obliged to you for your kindness.</div></div>	jlpt::N4
〜さ	〜さ	N4	-ness (adjective to noun)	Adjective stem + さ	Makes a measurable noun: 高さ, 長さ, 重さ.	さ gives an objective measure; み gives a subjective quality (暖かみ).	<div class="ex"><div class="jp">この<ruby>山<rt>やま</rt></ruby>の<ruby>高<rt>たか</rt></ruby>さは<ruby>三<rt>さん</rt></ruby><ruby>千<rt>せん</rt></ruby>メートルです。</div><div class="en">This mountain&#x27;s height is three thousand metres.</div></div><div class="ex"><div class="jp"><ruby>部屋<rt>へや</rt></ruby>の<ruby>広<rt>ひろ</rt></ruby>さを<ruby>測<rt>はか</rt></ruby>ります。</div><div class="en">I&#x27;ll measure the size of the room.</div></div>	jlpt::N4
〜させられる (causative-passive)	〜させられる (causative-passive)	N4	be made to ~	Causative stem + られる	The speaker was forced into an action, usually unwillingly.	させる makes someone act; させられる is being made to act.	<div class="ex"><div class="jp"><ruby>先生<rt>せんせい</rt></ruby>に<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>書<rt>か</rt></ruby>かせられました。</div><div class="en">I was made to write kanji by the teacher.</div></div><div class="ex"><div class="jp"><ruby>一時<rt>いちじ</rt></ruby><ruby>間<rt>かん</rt></ruby><ruby>待<rt>ま</rt></ruby>たされた。</div><div class="en">I was made to wait an hour.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>彼女<rt>かのじょ</rt></ruby>に<ruby>間違<rt>まちが</rt></ruby>いを<ruby>納得<rt>なっとく</rt></ruby>させられなかった。</div><div class="en">He couldn&#x27;t convince her of her mistake.</div></div><div class="ex"><div class="jp"><ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>機知<rt>きち</rt></ruby>にはみんなビックリさせられる。</div><div class="en">She dazzles everybody with her wit.</div></div>	jlpt::N4
〜させる (causative)	〜させる (causative)	N4	make / let someone ~	Group 1 あ-row + せる / Group 2 + させる / する→させる	を marks the person made to act with intransitive verbs; に with transitive ones.	With 〜てあげる it reads as &quot;let&quot;; alone it often reads as &quot;make&quot;.	<div class="ex"><div class="jp"><ruby>母<rt>はは</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>に<ruby>野菜<rt>やさい</rt></ruby>を<ruby>食<rt>た</rt></ruby>べさせました。</div><div class="en">My mother made me eat vegetables.</div></div><div class="ex"><div class="jp"><ruby>子<rt>こ</rt></ruby>どもを<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊<rt>あそ</rt></ruby>ばせた。</div><div class="en">I let the children play in the park.</div></div><div class="ex"><div class="jp"><ruby>代表<rt>だいひょう</rt></ruby><ruby>団<rt>だん</rt></ruby>は<ruby>貿易<rt>ぼうえき</rt></ruby><ruby>交渉<rt>こうしょう</rt></ruby>を<ruby>大<rt>おお</rt></ruby>きく<ruby>前進<rt>ぜんしん</rt></ruby>させました。</div><div class="en">Representatives made a major breakthrough in the trade talks.</div></div><div class="ex"><div class="jp">おじさんは、<ruby>君<rt>くん</rt></ruby>に、おじさんの<ruby>車<rt>くるま</rt></ruby>を<ruby>運転<rt>うんてん</rt></ruby>させましたか。</div><div class="en">Did your uncle let you drive his car?</div></div>	jlpt::N4
〜し	〜し	N4	and moreover / for one thing ~	Plain form + し	Lists reasons that build up to a conclusion, implying there are more.	し implies further unstated reasons; から gives one reason plainly.	<div class="ex"><div class="jp">この<ruby>店<rt>みせ</rt></ruby>は<ruby>安<rt>やす</rt></ruby>いし、おいしいです。</div><div class="en">This restaurant is cheap, and the food is good too.</div></div><div class="ex"><div class="jp"><ruby>雨<rt>あめ</rt></ruby>だし、<ruby>寒<rt>さむ</rt></ruby>いし、<ruby>家<rt>いえ</rt></ruby>にいます。</div><div class="en">It&#x27;s raining, it&#x27;s cold, so I&#x27;ll stay home.</div></div>	jlpt::N4
〜すぎる	〜すぎる	N4	too ~ / excessively	Verb ます-stem / adjective stem + すぎる	Conjugates as a る-verb. いい becomes よすぎる, ない becomes なさすぎる.	すぎる always carries a negative judgement; とても is neutral.	<div class="ex"><div class="jp"><ruby>食<rt>た</rt></ruby>べすぎました。</div><div class="en">I ate too much.</div></div><div class="ex"><div class="jp">この<ruby>問題<rt>もんだい</rt></ruby>は<ruby>難<rt>むずか</rt></ruby>しすぎる。</div><div class="en">This problem is too difficult.</div></div><div class="ex"><div class="jp">この<ruby>問題<rt>もんだい</rt></ruby>は<ruby>解<rt>と</rt></ruby>けません。<ruby>私<rt>わたし</rt></ruby>には<ruby>難<rt>むずか</rt></ruby>しすぎます。</div><div class="en">I can&#x27;t solve this problem. It&#x27;s too difficult for me.</div></div><div class="ex"><div class="jp">あなたの<ruby>答案<rt>とうあん</rt></ruby>には<ruby>間違<rt>まちが</rt></ruby>いが<ruby>多<rt>おお</rt></ruby>すぎます。</div><div class="en">Your paper contains too many mistakes.</div></div>	jlpt::N4
〜ずに	〜ずに	N4	without ~ing	Verb ない-stem + ずに (する→せずに)	A written, formal equivalent of 〜ないで.	ずに is formal; ないで is everyday.	<div class="ex"><div class="jp"><ruby>朝<rt>あさ</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>を<ruby>食<rt>た</rt></ruby>べずに<ruby>出<rt>で</rt></ruby>かけました。</div><div class="en">I went out without eating breakfast.</div></div><div class="ex"><div class="jp"><ruby>何<rt>なに</rt></ruby>も<ruby>言<rt>い</rt></ruby>わずに<ruby>帰<rt>かえ</rt></ruby>った。</div><div class="en">He went home without saying anything.</div></div>	jlpt::N4
